x1,x2,f1,f2
0.15,0.08333333333333334,0.15,1.3876524617020203
0.55,0.05,0.55,1.1069714450254122
0.05,0.8166666666666667,0.05,7.653857600833995
0.31666666666666665,0.4166666666666667,0.31666666666666665,3.681888607034318
0.11666666666666667,0.55,0.11666666666666667,5.175166683336668
0.6833333333333333,0.5166666666666666,0.6833333333333333,3.343432996590186
0.95,0.75,0.95,5.986607289756972
0.8500000000000001,0.35,0.8500000000000001,1.4218360029007056
0.2833333333333333,0.8833333333333333,0.2833333333333333,7.215903324405677
0.5833333333333333,0.45,0.5833333333333333,3.625323655105946
0.3833333333333333,0.6499999999999999,0.3833333333333333,5.421224340222023
0.75,0.15,0.75,1.7724081952648245
0.4166666666666667,0.48333333333333334,0.4166666666666667,3.6486272610692563
0.9166666666666667,0.21666666666666667,0.9166666666666667,1.763898273300052
0.5166666666666666,0.9166666666666667,0.5166666666666666,7.32220280963017
0.6166666666666667,0.95,0.6166666666666667,6.814906137346423
0.6499999999999999,0.7833333333333333,0.6499999999999999,5.112534153260425
0.35,0.2833333333333333,0.35,2.7853251595196022
0.016666666666666666,0.11666666666666667,0.016666666666666666,1.856824391559843
0.18333333333333335,0.18333333333333335,0.18333333333333335,2.044649211122451
0.8833333333333333,0.6833333333333333,0.8833333333333333,4.1952011574752195
0.48333333333333334,0.3833333333333333,0.48333333333333334,2.741761366693668
0.8166666666666667,0.9833333333333334,0.8166666666666667,6.605442651066584
0.25,0.31666666666666665,0.25,2.6189291564825705
0.45,0.25,0.45,1.5906613377552172
0.7166666666666666,0.8500000000000001,0.7166666666666666,6.518520756719044
0.08333333333333334,0.7166666666666666,0.08333333333333334,6.620403556428479
0.21666666666666667,0.5833333333333333,0.21666666666666667,4.9779799963525875
0.7833333333333333,0.6166666666666667,0.7833333333333333,4.67653238072834
0.9833333333333334,0.016666666666666666,0.9833333333333334,0.5782601906033824
