7.885805074747375132e-01,3.266407412190940884e-01,3.535533905932737864e-01,3.826834323650897818e-01
7.751486851625348784e-01,3.210770982499943083e-01,3.475313468383084969e-01,4.186597375374280783e-01
7.605216397617090562e-01,3.150183776675252734e-01,3.409734349360930006e-01,4.539904997395466935e-01
7.447219251160788200e-01,3.084739215796803991e-01,3.338897667114537060e-01,4.886212414969549056e-01
7.277739032404416664e-01,3.014538210633955218e-01,3.262912646673583050e-01,5.224985647159487989e-01
7.097037067561122736e-01,2.939689006048397113e-01,3.181896451432085215e-01,5.555702330196021776e-01
6.905391985963158508e-01,2.860307014088421806e-01,3.095974002490933796e-01,5.877852522924731371e-01
6.703099290435633462e-01,2.776514636031909844e-01,3.005277786038613730e-01,6.190939493098340796e-01
6.490470901652587443e-01,2.688441073652432234e-01,2.909947649067102238e-01,6.494480483301836582e-01
6.267834677177906988e-01,2.596222129999479211e-01,2.810130583737942001e-01,6.788007455329416739e-01
6.035533905932737309e-01,2.500000000000000000e-01,2.705980500730985061e-01,7.071067811865474617e-01
5.793926778868845329e-01,2.399923051204136126e-01,2.597657991925281240e-01,7.343225094356855553e-01
5.543385836664124211e-01,2.296145595013207030e-01,2.485330082778033911e-01,7.604059656000310419e-01
5.284297395291892574e-01,2.188827648742721899e-01,2.369169974783461863e-01,7.853169308807448346e-01
5.017060950349632176e-01,2.078134688887267045e-01,2.249356778408637958e-01,8.090169943749474513e-01
4.742088561065765928e-01,1.964237395967755873e-01,2.126075236918142097e-01,8.314696123025452357e-01
4.459804214934173228e-01,1.847311391354428123e-01,1.999515441513322889e-01,8.526401643540921782e-01
4.170643173956207761e-01,1.727536966471432955e-01,1.869872538225461900e-01,8.724960070727970640e-01
3.875051303498249222e-01,1.605098804800514922e-01,1.737346427014722083e-01,8.910065241883677878e-01
3.573484384799617275e-01,1.480185697112476884e-01,1.602141453538905025e-01,9.081431738250813623e-01
3.266407412190940884e-01,1.352990250365493086e-01,1.464466094067262136e-01,9.238795325112867385e-01
7.751486851625348784e-01,3.210770982499943083e-01,3.867911625973771139e-01,3.826834323650897818e-01
7.619456458964722900e-01,3.156082203214465864e-01,3.802029828000155209e-01,4.186597375374280783e-01
7.475677416713591983e-01,3.096526973929034088e-01,3.730285575608381921e-01,4.539904997395466935e-01
7.320371421733797845e-01,3.032197124490554896e-01,3.652789493235513163e-01,4.886212414969549056e-01
7.153777944612795814e-01,2.963191846864143830e-01,3.569661074223539066e-01,5.224985647159487989e-01
6.976153860417368957e-01,2.889617542186296850e-01,3.481028496569307240e-01,5.555702330196021776e-01
6.787773052610895919e-01,2.811587656702058124e-01,3.387028425283344912e-01,5.877852522924731371e-01
6.588925990744901595e-01,2.729222506839121265e-01,3.287805801662311844e-01,6.190939493098340796e-01
6.379919282576064221e-01,2.642649093688632100e-01,3.183513619800035777e-01,6.494480483301836582e-01
6.161075201299267556e-01,2.552000907178703093e-01,3.074312690681698101e-01,6.788007455329416739e-01
5.932731188625703922e-01,2.457417720242620063e-01,2.960371394224957098e-01,7.071067811865474617e-01
5.695239334472217418e-01,2.359045373299112069e-01,2.841865419650320135e-01,7.343225094356855553e-01
5.448965834064151137e-01,2.257035549376996131e-01,2.718977494581096277e-01,7.604059656000310419e-01
5.194290423288885350e-01,2.151545540230941078e-01,2.591897103290650151e-01,7.853169308807448346e-01
4.931605793170584784e-01,2.042738003808980962e-01,2.460820194531377070e-01,8.090169943749474513e-01
4.661316984369137106e-01,1.930780713445753027e-01,2.325948879395945135e-01,8.314696123025452357e-01
4.383840762636784238e-01,1.815846299168167866e-01,2.187491119676621132e-01,8.526401643540921782e-01
4.099604976195562744e-01,1.698111981512432089e-01,2.045660407203274966e-01,8.724960070727970640e-01
3.809047896026344082e-01,1.577759298262814136e-01,1.900675434654444940e-01,8.910065241883677878e-01
3.512617540086749868e-01,1.454973824533551119e-01,1.752759758349080876e-01,9.081431738250813623e-01
