2.500000000000000555e-01,2.500000000000000555e-01,3.535533905932738419e-01,5.000000000000001110e-01,7.071067811865475727e-01,0.000000000000000000e+00
2.499999951796522957e-01,2.499999951796522957e-01,3.535533837762726561e-01,4.999999903593045358e-01,7.071067675525452012e-01,1.963740863481915099e-04
2.499999807186091549e-01,2.499999807186091549e-01,3.535533633252693209e-01,4.999999614372182544e-01,7.071067266505385307e-01,3.927481651236518949e-04
2.499999566168712717e-01,2.499999566168712717e-01,3.535533292402647243e-01,4.999999132337424879e-01,7.071066584805293376e-01,5.891222287536504367e-04
2.499999228744394786e-01,2.499999228744394786e-01,3.535532815212600322e-01,4.999998457488788461e-01,7.071065630425199533e-01,7.854962696654566338e-04
2.499998794913151079e-01,2.499998794913151079e-01,3.535532201682571873e-01,4.999997589826301603e-01,7.071064403365142637e-01,9.818702802863415839e-04
2.499998264674998527e-01,2.499998264674998527e-01,3.535531451812585213e-01,4.999996529349996499e-01,7.071062903625169316e-01,1.178244253043576710e-03
2.499997638029957669e-01,2.499997638029957669e-01,3.535530565602669761e-01,4.999995276059914784e-01,7.071061131205338413e-01,1.374618180364435170e-03
2.499996914978052376e-01,2.499996914978052376e-01,3.535529543052858825e-01,4.999993829956104197e-01,7.071059086105716540e-01,1.570992054676192615e-03
2.499996095519310957e-01,2.499996095519310957e-01,3.535528384163192928e-01,4.999992191038621359e-01,7.071056768326384745e-01,1.767365868406125346e-03
2.499995179653764221e-01,2.499995179653764221e-01,3.535527088933715367e-01,4.999990359307527332e-01,7.071054177867429624e-01,1.963739613981513137e-03
2.499994167381448251e-01,2.499994167381448251e-01,3.535525657364477214e-01,4.999988334762895392e-01,7.071051314728953319e-01,2.160113283829638142e-03
2.499993058702401627e-01,2.499993058702401627e-01,3.535524089455533425e-01,4.999986117404802699e-01,7.071048178911065740e-01,2.356486870377784686e-03
2.499991853616667370e-01,2.499991853616667370e-01,3.535522385206943952e-01,4.999983707233333630e-01,7.071044770413886793e-01,2.552860366053242083e-03
2.499990552124291832e-01,2.499990552124291832e-01,3.535520544618775407e-01,4.999981104248583108e-01,7.071041089237549704e-01,2.749233763283300946e-03
2.499989154225325250e-01,2.499989154225325250e-01,3.535518567691097735e-01,4.999978308450649389e-01,7.071037135382194361e-01,2.945607054495257091e-03
2.499987659919821470e-01,2.499987659919821470e-01,3.535516454423988097e-01,4.999975319839641830e-01,7.071032908847975085e-01,3.141980232116409807e-03
